Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
Дом Ротшильдов,False,1934,драма,США,5.5
В дело вступает флот,False,1934,драма,США,5.5
Одна ночь любви,False,1934,мелодрама,США,5.3
Дорожка флирта,False,1934,мюзикл,США,4.9
Парад белых халатов,False,1934,драма,США,4.8
Я – беглый каторжник,False,1932,фильм-нуар,США,7.7
Маленькие женщины,False,1933,драма,США,7.0
Леди на один день,False,1933,драма,США,6.8
Частная жизнь Генриха VIII,False,1933,драма,Великобритания,6.8
"Прощай, оружие",False,1932,драма,США,6.7
42-я улица,False,1933,мюзикл,США,6.7
Она обошлась с ним нечестно,False,1933,мюзикл,США,5.9
Нежная улыбка,False,1932,драма,США,5.9
Кавалькада,True,1933,драма,США,5.8
Ярмарка штата,False,1933,драма,США,5.6
Гранд Отель,True,1932,драма,США,7.2
Шанхайский экспресс,False,1932,фильм-нуар,США,7.1
Чемпион,False,1931,драма,США,6.5
Улыбающийся лейтенант,False,1931,мюзикл,США,6.2
Пять последних звезд,False,1931,драма,США,6.2
Один час с тобой,False,1932,мюзикл,США,6.1
Доктор Эрроусмит,False,1931,драма,США,6.0
Плохая девчонка,False,1931,драма,США,5.4
Первая полоса,False,1931,комедия,США,6.1
Симаррон,True,1931,драма,США,6.1
Скиппи,False,1931,драма,США,5.7
Ист Линн,False,1931,драма,США,5.2
Трейдер Хорн,False,1931,боевик,США,5.0
На Западном фронте без перемен,True,1930,драма,США,7.9
Развод,False,1930,драма,США,6.2
Парад любви,False,1929,мюзикл,США,6.2
Казенный дом,False,1930,триллер,США,6.1
Дизраэли,False,1929,драма,США,5.2
Бродвейская мелодия 1929 года,True,1929,мюзикл,США,5.8
В старой Аризоне,False,1928,мелодрама,США,5.7
Патриот,False,1928,триллер,США,5.7
Голливудское ревю,False,1929,мюзикл,США,5.3
Алиби,False,1929,криминал,США,5.0
Седьмое небо,False,1927,драма,США,7.1
Крылья,True,1927,боевик,США,7.0
Рэкет,False,1928,фильм-нуар,США,5.9
