Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
127 часов,False,2010,триллер,Великобритания,7.7
Железная хватка,False,2010,вестерн,США,7.6
Детки в порядке,False,2010,драма,США,6.6
Зимняя кость,False,2010,триллер,США,6.5
Невидимая сторона,False,2009,драма,США,8.2
Вверх,False,2009,мультфильм,США,8.0
Бесславные ублюдки,False,2009,боевик,Германия,8.0
Аватар,False,2009,фантастика,США,8.0
Район №9,False,2009,фантастика,ЮАР,7.8
Воспитание чувств,False,2008,драма,Великобритания,7.4
Мне бы в небо,False,2009,драма,США,7.3
Повелитель бури,True,2008,триллер,США,7.3
Сокровище,False,2009,драма,США,7.2
Серьёзный человек,False,2009,драма,Великобритания,6.9
Загадочная история Бенджамина Баттона,False,2008,драма,США,8.1
Чтец,False,2008,драма,США,8.0
Миллионер из трущоб,True,2008,криминал,Великобритания,7.8
Фрост против Никсона,False,2008,драма,Великобритания,7.6
Харви Милк,False,2008,драма,США,7.1
Искупление,False,2007,драма,Великобритания,8.1
Нефть,False,2007,драма,США,7.8
Старикам тут не место,True,2007,триллер,США,7.8
Джуно,False,2007,драма,США,7.2
Майкл Клейтон,False,2007,триллер,США,6.7
Отступники,True,2006,криминал,США,8.5
Письма с Иводзимы,False,2006,драма,США,7.6
Вавилон,False,2006,драма,США,7.6
Королева,False,2005,драма,Великобритания,7.6
Маленькая мисс Счастье,False,2006,драма,США,7.5
Столкновение,True,2004,триллер,США,7.8
Горбатая гора,False,2005,вестерн,США,7.6
Мюнхен,False,2005,триллер,США,7.4
Капоте,False,2005,биография,США,7.0
Доброй ночи и удачи,False,2005,драма,Великобритания,7.0
Малышка на миллион,True,2004,драма,США,8.1
Рэй,False,2004,драма,США,8.1
Волшебная страна,False,2004,драма,США,7.9
Авиатор,False,2004,драма,США,7.6
На обочине,False,2004,драма,США,7.0
Властелин колец: Возвращение короля,True,2003,фэнтези,Новая Зеландия,8.7
Фаворит,False,2003,драма,США,7.8
Таинственная река,False,2003,триллер,США,7.8
Хозяин морей: На краю Земли,False,2003,боевик,США,7.6
Трудности перевода,False,2003,драма,США,7.2
Властелин колец: Две крепости,False,2002,фэнтези,Новая Зеландия,8.6
Пианист,False,2002,драма,Франция,8.5
Банды Нью-Йорка,False,2002,драма,США,7.7
Чикаго,True,2002,мюзикл,США,7.7
Часы,False,2002,драма,США,7.6
Властелин колец: Братство кольца,False,2001,фэнтези,Новая Зеландия,8.6
Игры разума,True,2001,биография,США,8.5
Мулен Руж,False,2001,мюзикл,Австралия,7.9
Госфорд-парк,False,2001,драма,Великобритания,6.8
В спальне,False,2001,драма,США,6.7
Гладиатор,True,2000,история,США,8.6
Шоколад,False,2000,драма,Великобритания,7.9
Эрин Брокович,False,2000,драма,США,7.9
"Крадущийся тигр, затаившийся дракон",False,2000,фэнтези,Тайвань,7.4
Траффик,False,2000,триллер,Германия,7.2
Зеленая миля,False,1999,драма,США,9.1
Шестое чувство,False,1999,детектив,США,8.2
Красота по-американски,True,1999,драма,США,8.0
Правила виноделов,False,1999,драма,США,7.7
Свой человек,False,1999,триллер,США,7.6
Жизнь прекрасна,False,1997,военный,Италия,8.6
Спасти рядового Райана,False,1998,военный,США,8.2
Елизавета,False,1998,драма,Великобритания,7.7
Влюблённый Шекспир,True,1998,драма,Великобритания,7.4
Тонкая красная линия,False,1998,драма,США,7.4
Титаник,True,1997,мелодрама,США,8.4
Умница Уилл Хантинг,False,1997,драма,США,8.1
Секреты Лос-Анджелеса,False,1997,детектив,США,7.9
Лучше не бывает,False,1997,драма,США,7.9
Мужской стриптиз,False,1997,драма,Великобритания,7.4
Английский пациент,True,1996,драма,США,7.9
Блеск,False,1996,биография,Австралия,7.8
Фарго,False,1995,триллер,Великобритания,7.6
Джерри Магуайер,False,1996,драма,США,7.4
Тайны и ложь,False,1996,драма,Великобритания,7.4
Храброе сердце,True,1995,история,США,8.3
Разум и чувства,False,1995,драма,Великобритания,7.9
Аполлон 13,False,1995,драма,США,7.7
Почтальон,False,1994,драма,Италия,7.1
Бэйб: Четвероногий малыш,False,1995,драма,Австралия,7.0
Побег из Шоушенка,False,1994,драма,США,9.1
Форрест Гамп,True,1994,драма,США,8.9
Криминальное чтиво,False,1994,криминал,США,8.7
Телевикторина,False,1994,драма,США,7.2
Четыре свадьбы и одни похороны,False,1993,мелодрама,Великобритания,7.1
Список Шиндлера,True,1993,драма,США,8.8
Беглец,False,1993,боевик,США,7.9
Во имя отца,False,1993,драма,Ирландия,7.8
Пианино,False,1992,драма,Австралия,7.8
На исходе дня,False,1993,драма,США,7.4
Запах женщины,False,1992,драма,США,8.4
Несколько хороших парней,False,1992,триллер,США,7.8
Непрощенный,True,1992,вестерн,США,7.8
Говардс-Энд,False,1991,драма,Великобритания,7.1
Жестокая игра,False,1992,триллер,Великобритания,7.0
Молчание ягнят,True,1990,триллер,США,8.3
Красавица и чудовище,False,1991,мультфильм,США,8.3
Джон Ф. Кеннеди: Выстрелы в Далласе,False,1991,триллер,США,7.9
Повелитель приливов,False,1991,драма,США,7.3
Багси,False,1991,драма,США,7.1
Пробуждение,False,1990,драма,США,8.4
Привидение,False,1990,мелодрама,США,8.2
Славные парни,False,1990,драма,США,8.1
Танцующий с волками,True,1990,драма,США,8.1
Крестный отец 3,False,1990,криминал,США,7.9
Общество мертвых поэтов,False,1989,драма,США,8.3
Моя левая нога,False,1989,драма,Ирландия,7.9
Шофер мисс Дэйзи,True,1989,драма,США,7.8
Рожденный четвертого июля,False,1989,драма,США,7.6
Поле чудес,False,1989,фэнтези,США,7.2
Человек дождя,True,1988,драма,США,8.2
Опасные связи,False,1988,драма,США,7.8
Миссисипи в огне,False,1988,детектив,США,7.7
Деловая женщина,False,1988,драма,США,7.2
Турист поневоле,False,1988,драма,США,6.8
Последний император,True,1987,биография,Великобритания,7.9
Во власти Луны,False,1987,драма,США,7.4
Роковое влечение,False,1987,триллер,США,7.2
Надежда и слава,False,1987,драма,Великобритания,6.9
Теленовости,False,1987,драма,США,6.6
Взвод,True,1986,военный,США,8.0
Дети тишины,False,1986,драма,США,7.6
Ханна и её сестры,False,1986,драма,США,7.5
Миссия,False,1986,драма,Великобритания,7.3
Комната с видом,False,1985,мелодрама,Великобритания,7.1
Цветы лиловые полей,False,1985,драма,США,7.9
Из Африки,True,1985,драма,США,7.6
